run_id,question_id,subject,model,model_id,politeness_level,politeness_category,predicted_answer,correct_answer,correct,quality_score,input_tokens,output_tokens,total_tokens,response_time_seconds,timestamp
experiment_run_001,Q001,Computer Science,GPT model,gpt_model,P1,highly_impolite,B,B,1,5,31,76,107,1.91,2026-05-20T12:00:00Z
experiment_run_001,Q001,Computer Science,GPT model,gpt_model,P2,mildly_impolite,D,B,0,4,34,78,112,2.032,2026-05-20T12:00:00Z
experiment_run_001,Q001,Computer Science,GPT model,gpt_model,P3,direct_neutral,B,B,1,5,35,82,117,1.974,2026-05-20T12:00:00Z
experiment_run_001,Q001,Computer Science,GPT model,gpt_model,P4,academic_neutral,B,B,1,5,40,84,124,2.107,2026-05-20T12:00:00Z
experiment_run_001,Q001,Computer Science,GPT model,gpt_model,P5,slightly_polite,B,B,1,5,42,86,128,2.085,2026-05-20T12:00:00Z
experiment_run_001,Q001,Computer Science,GPT model,gpt_model,P6,polite,B,B,1,5,46,88,134,2.093,2026-05-20T12:00:00Z
experiment_run_001,Q001,Computer Science,GPT model,gpt_model,P7,highly_polite,B,B,1,5,54,91,145,2.21,2026-05-20T12:00:00Z
experiment_run_001,Q001,Computer Science,GPT model,gpt_model,P8,excessively_polite,B,B,1,5,68,96,164,2.152,2026-05-20T12:00:00Z
experiment_run_001,Q002,Mathematics,GPT model,gpt_model,P1,highly_impolite,B,B,1,5,31,76,107,1.956,2026-05-20T12:00:00Z
experiment_run_001,Q002,Mathematics,GPT model,gpt_model,P2,mildly_impolite,B,B,1,5,34,78,112,1.955,2026-05-20T12:00:00Z
experiment_run_001,Q002,Mathematics,GPT model,gpt_model,P3,direct_neutral,B,B,1,5,35,82,117,1.973,2026-05-20T12:00:00Z
experiment_run_001,Q002,Mathematics,GPT model,gpt_model,P4,academic_neutral,D,B,0,4,40,84,124,1.966,2026-05-20T12:00:00Z
experiment_run_001,Q002,Mathematics,GPT model,gpt_model,P5,slightly_polite,B,B,1,5,42,86,128,2.004,2026-05-20T12:00:00Z
experiment_run_001,Q002,Mathematics,GPT model,gpt_model,P6,polite,B,B,1,5,46,88,134,2.095,2026-05-20T12:00:00Z
